,CS Schools,City,School,Class,Gender,Grade,Math_selfefficacy,Tablets_utility,CS_utility,Tablets_selfefficacy,Robots_interest,Tablets_interest,CS_selfefficacy,General_selfefficacy,Robots_utility,Robots_selfefficacy,CS_interest,Sport_selfefficacy,French_selfefficacy,Who_Teacher,Who_Mom,Who_Dad,Who_Student,Who_Other,Who_Nobody,General_selfefficacy,French_selfefficacy,Sport_selfefficacy,Math_selfefficacy
71,0,0,School_2,Class_5,Girl,3,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1,1,1,0,0,0,1.0,2.0,2.0,1.0
72,0,0,School_2,Class_5,Girl,3,2.0,-2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,-2.0,0,0,1,0,0,0,2.0,-2.0,2.0,2.0
73,0,0,School_2,Class_5,Boy,3,2.0,0.0,2.0,0.0,2.0,-2.0,1.0,2.0,2.0,1.0,-2.0,2.0,2.0,0,0,0,0,1,0,2.0,2.0,2.0,2.0
74,0,0,School_2,Class_5,Boy,3,2.0,2.0,2.0,2.0,-2.0,2.0,-2.0,0.0,2.0,-1.0,2.0,2.0,2.0,1,1,1,1,0,0,0.0,2.0,2.0,2.0
75,0,0,School_2,Class_5,Boy,3,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0,1,1,1,0,0,1.0,2.0,2.0,2.0
76,0,0,School_2,Class_5,Girl,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,0,0,1,1,0,2.0,1.0,2.0,2.0
77,0,0,School_2,Class_5,Boy,3,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0,1,1,1,1,0,1.0,2.0,2.0,2.0
78,0,0,School_2,Class_5,Girl,3,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1,1,0,1,1,0,1.0,2.0,2.0,2.0
79,0,0,School_2,Class_5,Boy,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1,1,1,1,0,0,2.0,0.0,2.0,2.0
80,0,0,School_2,Class_6,Girl,6,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,1,0,0,0,2.0,2.0,2.0,2.0
81,0,0,School_2,Class_6,Girl,6,1.0,1.0,2.0,2.0,-1.0,1.0,1.0,2.0,2.0,-1.0,1.0,2.0,2.0,1,1,1,1,1,0,2.0,2.0,2.0,1.0
82,0,0,School_2,Class_6,Girl,6,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,0,0,1,1,0,0,2.0,1.0,2.0,1.0
83,0,0,School_2,Class_6,Boy,6,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,1,1,1,1,1,0,2.0,2.0,2.0,1.0
84,0,0,School_2,Class_6,Girl,6,2.0,0.0,1.0,1.0,-2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0,1,1,0,0,1,2.0,1.0,2.0,2.0
85,0,0,School_2,Class_6,Girl,6,1.0,2.0,1.0,2.0,-1.0,2.0,0.0,2.0,1.0,-2.0,1.0,2.0,1.0,1,1,1,1,1,0,2.0,1.0,2.0,1.0
86,0,0,School_2,Class_6,Boy,6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,0,0,0,0,2.0,2.0,2.0,2.0
87,0,0,School_2,Class_6,Girl,6,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1,0,0,0,0,0,2.0,2.0,1.0,2.0
