,School,Class,Grade,Gender,cCTt - total score,cCTt - Number of cCTt questions the students answered,cCTt - Proportion of correct responses,Tablet-related interest,Robot-related utility,Tablet-related utility,Tablet-related self-efficacy,Robot-related interest,CS-related interest,CS-related utility,Robot-related self-efficacy,CS-related self-efficacy,School-related self-efficacy,Teacher as a CS role model,Mother as a CS role model,Father as a CS role model,A student as a CS role model,Other person as a CS role model,Nobody as a CS role model,Number of periods the teacher spent teaching the robot game,Number of periods the teacher spent teaching the sorting machine,Number of periods the teacher spent teaching the treasure hunting game,Number of periods the teacher spent teaching the pixel game,Number of periods the teacher spent teaching salmon sorting,Number of periods the teacher spent teaching the crane game,Number of periods the teacher spent teaching the Bluebot,Number of periods the teacher spent teaching CS activities,Number of periods the teacher spent teaching Cryptography,Number of periods the teacher spent teaching Caesar's code,Number of periods the teacher spent teaching networks,Number of periods the teacher spent teaching Square CT,Number of periods the teacher spent teaching Thymio with VPL,Number of periods the teacher spent teaching Bebras challenges,Number of periods the teacher spent teaching about binary code,Number of periods the teacher spent teaching about sorting,City,Number of periods the teacher spent teaching Scratch Jr,Number of periods the teacher spent teaching Thymio with pre-programmed behaviors,Number of periods the teacher spent teaching algorithms,Number of CS activities the teacher taught
74,School_1,Class_5,4,Girl,17.0,23.0,73.91304347826086,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
75,School_1,Class_5,4,Girl,,,,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
76,School_1,Class_5,4,Girl,17.0,23.0,73.91304347826086,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
77,School_1,Class_5,4,Boy,18.0,23.0,78.26086956521739,-1.0,1.0,0.0,1.0,-2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
78,School_1,Class_5,4,Boy,8.0,23.0,34.78260869565217,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
79,School_1,Class_5,4,Girl,12.0,23.0,52.17391304347826,2.0,0.0,2.0,2.0,-1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
80,School_1,Class_5,4,Girl,,,,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
81,School_1,Class_5,4,Girl,9.0,23.0,39.130434782608695,2.0,0.0,2.0,2.0,-1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
82,School_1,Class_5,4,,6.0,23.0,26.08695652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,School_1,Class_5,4,Boy,17.0,23.0,73.91304347826086,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
84,School_1,Class_5,4,Boy,11.0,23.0,47.82608695652174,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
85,School_1,Class_5,4,Boy,6.0,23.0,26.08695652173913,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
86,School_1,Class_6,4,,9.0,23.0,39.130434782608695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
