School Name,BRIN
Basisschool De Kasteeltuin,09LJ
Basisschool De Kei,10VM
Basisschool De Kemp,03VE
Basisschool De Kerkuil,08NP
Basisschool de Kern,15LG
Basisschool De Kiem,06DW
Basisschool De Kijckert,06CY
Basisschool De Kinderbrug,04VR
Basisschool De Kingbeek,03WD
Basisschool De Klarinet,08YP
Basisschool De Klaver,16US
Basisschool De Klaverhoek,14FE
Basisschool de Klaverwoid,12ES
Basisschool De Kleine Beer,08DE
Basisschool De Kleine Nicolaas,31JF
Basisschool De Kleine Wereld,13WR
Basisschool De Klim,04XZ
Basisschool De Klim Werkkring,17NX
Basisschool De Klimboom,10AG
Basisschool De Klimboom,17NZ
Basisschool De Klimboom,15FH
Basisschool De Klimop (Wilbertoord),05HZ
Basisschool De Klimpaal,04XW
Basisschool De Klimroos,12IY
Basisschool De Klingerberg,11YA
Basisschool de Klink,14ZP
Basisschool de Klinker,15KN
Basisschool De Klipper,12XO
Basisschool De Klipper,27KE
Basisschool De Kluis,07UK
Basisschool De Klumpert,15TV
Basisschool De Knotwilg,04HT
Basisschool De Kraanvogel,25KT
Basisschool De Kraanvogel,06PN
Basisschool De Krabbenkooi,12PX
Basisschool De Kreek'l,07SL
Basisschool De Kring,17DV
Basisschool De Kring,03BR
Basisschool De Kring,06WC
Basisschool de Krokodaris,08MK
Basisschool De Kromme Draai,08EU
Basisschool de Kronkelaar,10DX
Basisschool De Kruudwis,21OZ
Basisschool De Kubus,09PX
Basisschool De Kwir,03XN
Basisschool De Laak,06JD
Basisschool De Lage Weide,08WR
Basisschool De Langenoord,03TB
Basisschool de Lanteerne,12JJ
Basisschool De Laweij,04RK
Basisschool De Leer,05BR
Basisschool De Leeuw,08NH
Basisschool De Leilinde,08LQ
Basisschool De Leilinde - school met de Bijbel,00CS
Basisschool De LenS,03XX
Basisschool De Lepelaar,11TC
Basisschool De Liaan,10ZW
Basisschool De Lichtboei,18GB
Basisschool De Lichtbron,05UE
Basisschool De Lichtbron - school met de Bijbel,03KR
Basisschool de Lichtkring - school met de Bijbel,06EY
Basisschool De Lier,07DE
Basisschool De Linde,08DJ
Basisschool de Lindegaerd,13KM
Basisschool de Lindelaar,10EH
Basisschool De Linderakkers,18VZ
Basisschool De Lingewaard,01VY
Basisschool De Lisbloem,03HD
Basisschool De Lochtenbergh,10EZ
Basisschool De Lockaert,00CD
Basisschool de Loysderhoek,11PE
Basisschool De Luithorst,09TG
Basisschool De Lusthof,08NI
Basisschool De Maaskei,07VD
Basisschool De Marimba,26AR
Basisschool De Marskramer,21LT
Basisschool De Masten,05JA
Basisschool De Matrix,05KL
Basisschool De Meele,05PS
Basisschool De Meent,05DW
Basisschool de Meerpaal,11IH
Basisschool De Meerstromen,07FA
Basisschool De Meiboom,11TD
Basisschool De Meidoorn,07GB
Basisschool De Meidoorn 10e Montessori-School,20UV
Basisschool de Meridiaan,09BA
Basisschool de Meridiaan,23RG
Basisschool De Meulebeek,06WF
Basisschool de Mienskip,11BF
Basisschool de Mijlpaal,24AM
Basisschool De Mirt,03RE
Basisschool De Molenvliet,09CJ
Basisschool de Molenwiek,10ZY
Basisschool De Morgenster,13CC
Basisschool De Morgenster,04NT
Basisschool De Mussenberg,08OS
Basisschool De Neerhof,06KB
Basisschool De Nienekes,09EZ
Basisschool De Nieuwe Linde,31TA
Basisschool de Nieuwe Link,24TA
Basisschool de Nieuwe van Dale,18GT
Basisschool De Nieuwe Weg,10JH
Basisschool de Notelaar,31FT
Basisschool De Octopus,03PD
Basisschool De Okkernoot,09DV
Basisschool De Olijfboom,23ZV
Basisschool De Oostvogel,03NR
Basisschool De Opstap,08LJ
Basisschool De Opstap,23UH
Basisschool De Opstekker,15JO
Basisschool De Optimist,08LL
Basisschool De Overhaal,18KX
Basisschool De Overlaat,04LX
Basisschool de Overplaats,10PW
Basisschool De Oversteek,27JW
Basisschool de Pannevogel,05DK
Basisschool De Paradijsvogel,03TO
Basisschool De Parel,07OJ
Basisschool De Parel,10ZZ
Basisschool De Parel,08AW
Basisschool De Parel - school met de Bijbel,06EO
Basisschool De Parel - school met de Bijbel,08JH
Basisschool de Parnassia,05DU
Basisschool De Peddepoel,05EJ
Basisschool de Peperklip,13GL
Basisschool De Pionier,09QJ
Basisschool de Pionier,21ON
Basisschool De Piramide,10HE
Basisschool de Piramide,15UZ
Basisschool De Piramide,10GK
Basisschool de Plattenburg,13YQ
Basisschool De Ploeg,19JJ
Basisschool De Polderhof,16KK
Basisschool De Polhaar,08NV
Basisschool De Pollenhof,03PX
Basisschool De Poort - school met de Bijbel,06SE
Basisschool De Populier,10BJ
Basisschool De Princenhof - school met de Bijbel,06EC
Basisschool de Rakt,11IF
Basisschool De Rank,06MY
Basisschool de Rank,20HL
Basisschool De Rank,15XJ
Basisschool De Rank,06FO
Basisschool de Rank,15BG
Basisschool De Rank,11JU
Basisschool De Rank - school met de Bijbel,01WQ
Basisschool De Ratel,07FI
